date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:17	343271/343271	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/618f27459e722.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/618f27459e722.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:17	163811/163811	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/618de22a0b743.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/618de22a0b743.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:18	360624/360624	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/618b5f2fbd663.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/618b5f2fbd663.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:18	94669/94669	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6185f47324327.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6185f47324327.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:18	133450/133450	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6182014faae7f.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6182014faae7f.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:19	51462/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:18%20GMT	https://www.sdchinamachine.com/polyurethane-polyurea-spray-machine.html/p/1	/home/titouan/websites/test/www.sdchinamachine.com/polyurethane-polyurea-spray-machine.html/p/1.html	(from https://www.sdchinamachine.com/polyurethane-polyurea-spray-machine.html/p/2)
15:56:20	123282/123282	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/617b6c6df3d56.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/617b6c6df3d56.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:20	150053/150053	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/6178bc1daf251.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/6178bc1daf251.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:20	269673/269673	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/61737f878ccb3.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/61737f878ccb3.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
15:56:20	659719/659719	URF---	200	added ('OK%20(cached)')	image/png		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/616d1400c907f.png	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/616d1400c907f.png	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/3)
